model	percentile	io_type	io_size	latency
HFA	17	write	2.0	0.080713964920798689081750318625963464
HFA	18	write	1.0	0.078531157270029673590504451038575668
HFA	18	write	2.0	0.081334008097165991902834008097165992
HFA	19	write	128.0	0.275439279902359641985353946297803092
HFA	21	nsRead	32.0	0.431909090909090909090909090909090909
HFA	21	seqRead	512.0	1.025632258064516129032258064516129032
HFA	23	seqRead	64.0	0.092171972431900229734164752215293732
HFA	23	write	64.0	0.202764705882352941176470588235294118
HFA	24	nsRead	4.0	0.155374201787994891443167305236270754
HFA	26	seqRead	4.0	0.024000000000000000000000000000000000
HFA	27	nsRead	2.0	0.088163841807909604519774011299435028
HFA	28	write	0.5	0.110868421052631578947368421052631579
HFA	33	nsRead	2.0	0.096229249011857707509881422924901186
HFA	33	nsRead	64.0	0.423388888888888888888888888888888889
HFA	33	write	16.0	0.119337874659400544959128065395095368
HFA	37	seqRead	32.0	0.375384615384615384615384615384615385
HFA	37	write	256.0	0.568158536585365853658536585365853659
HFA	38	seqRead	32.0	0.396342364532019704433497536945812808
HFA	38	write	32.0	0.169675262655205348615090735434574976
HFA	40	seqRead	8.0	0.257000000000000000000000000000000000
HFA	41	write	4.0	0.086469659595461272816970892945239270
HFA	41	write	128.0	0.349850820297596337275848912628767646
HFA	42	nsRead	16.0	0.372910059760956175298804780876494024
HFA	43	nsRead	1.0	0.124294117647058823529411764705882353
HFA	43	nsRead	4.0	0.304843075788309054029135165037801955
HFA	43	write	2.0	0.094235130509199828840393667094565682
HFA	44	seqRead	4.0	0.133333333333333333333333333333333333
HFA	47	write	1.0	0.093286828422876949740034662045060659
HFA	47	write	32.0	0.181842857142857142857142857142857143
HFA	48	write	4.0	0.089928571428571428571428571428571429
HFA	49	write	8.0	0.106831957547169811320754716981132075
HFA	50	nsRead	2.0	0.134894736842105263157894736842105263
HFA	53	nsRead	512.0	4.627405940594059405940594059405940594
HFA	54	seqRead	512.0	4.511624584717607973421926910299003322
HFA	56	nsRead	8.0	0.441633547868061142397425583266291231
HFA	57	nsRead	2.0	0.173041666666666666666666666666666667
HFA	57	seqRead	4.0	0.332337988826815642458100558659217877
HFA	57	write	1.0	0.100020979020979020979020979020979021
HFA	59	write	32.0	0.202953125000000000000000000000000000
HFA	61	write	128.0	0.455652173913043478260869565217391304
HFA	62	seqRead	32.0	1.181500000000000000000000000000000000
HFA	64	nsRead	16.0	0.670852348993288590604026845637583893
HFA	64	seqRead	512.0	6.638187362233651726671565025716385011
HFA	64	write	1.0	0.106500000000000000000000000000000000
HFA	65	nsRead	4.0	0.490939230249831195138419986495611074
HFA	65	seqRead	32.0	1.379375000000000000000000000000000000
HFA	65	write	128.0	0.479128640776699029126213592233009709
HFA	66	nsRead	16.0	0.708513513513513513513513513513513514
HFA	66	seqRead	32.0	1.454258064516129032258064516129032258
HFA	67	seqRead	256.0	4.540984719864176570458404074702886248
HFA	68	nsRead	16.0	0.750670422535211267605633802816901408
HFA	69	nsRead	512.0	7.769608695652173913043478260869565217
HFA	69	write	128.0	0.505331460674157303370786516853932584
HFA	69	write	256.0	0.831454356920656488003718668430650409
HFA	70	write	64.0	0.324185321100917431192660550458715596
HFA	70	write	256.0	0.843250000000000000000000000000000000
HFA	71	seqRead	64.0	1.497276157804459691252144082332761578
HFA	73	nsRead	0.0	0.003520833333333333333333333333333333
HFA	74	nsRead	1.0	0.369500000000000000000000000000000000
HFA	74	seqRead	128.0	2.611322037681935887132779712474328065
HFA	74	write	1.0	0.123316572807723250201126307320997586
HFA	74	write	256.0	0.890433210784313725490196078431372549
