model	percentile	io_type	io_size	latency
AFA	0	nsRead	64.0	0.000000000000000000000000000000000000
AFA	1	nsRead	64.0	0.149430100655056718325611119987218405
AFA	2	nsRead	64.0	0.204093750000000000000000000000000000
AFA	3	nsRead	64.0	0.252956521739130434782608695652173913
AFA	4	nsRead	64.0	0.288846153846153846153846153846153846
AFA	5	nsRead	64.0	0.322000000000000000000000000000000000
AFA	6	nsRead	64.0	0.349064716636197440585009140767824497
AFA	7	nsRead	64.0	0.373545454545454545454545454545454545
AFA	8	nsRead	64.0	0.394776153328095184644741272870131328
AFA	9	nsRead	64.0	0.413473214285714285714285714285714286
AFA	10	nsRead	64.0	0.430500000000000000000000000000000000
AFA	11	nsRead	64.0	0.445976964727443809311482719447363287
AFA	12	nsRead	64.0	0.460392524634963348193900776955547267
AFA	13	nsRead	64.0	0.474001270244522070498570974912670689
AFA	14	nsRead	64.0	0.486561904761904761904761904761904762
AFA	15	nsRead	64.0	0.498640000000000000000000000000000000
AFA	16	nsRead	64.0	0.510000000000000000000000000000000000
AFA	17	nsRead	64.0	0.520923282188125416944629753168779186
AFA	18	nsRead	64.0	0.531432822393833130792910992522226146
AFA	19	nsRead	64.0	0.541428638250214111601554779629751631
AFA	20	nsRead	64.0	0.551303850727156315741333577243208634
AFA	21	nsRead	64.0	0.560840213810260203052511262018422645
AFA	22	nsRead	64.0	0.570159090909090909090909090909090909
AFA	23	nsRead	64.0	0.579109375000000000000000000000000000
AFA	24	nsRead	64.0	0.587819636178503593177857408604045507
AFA	25	nsRead	64.0	0.596346176012719022225166440329899639
AFA	26	nsRead	64.0	0.604860029439314866854007761273919443
AFA	27	nsRead	64.0	0.613288461538461538461538461538461538
AFA	28	nsRead	64.0	0.621392168949981751880783043663608957
AFA	29	nsRead	64.0	0.629186397984886649874055415617128463
AFA	30	nsRead	64.0	0.637000000000000000000000000000000000
AFA	31	nsRead	64.0	0.644561776061776061776061776061776062
AFA	32	nsRead	64.0	0.651939752866525659579205165312256484
AFA	33	nsRead	64.0	0.659446971330028023280879499892218150
AFA	34	nsRead	64.0	0.667000000000000000000000000000000000
AFA	35	nsRead	64.0	0.674549085286940441570341621139789084
AFA	36	nsRead	64.0	0.681973961812801458248678232562197107
AFA	37	nsRead	64.0	0.689235294117647058823529411764705882
AFA	38	nsRead	64.0	0.696464788732394366197183098591549296
AFA	39	nsRead	64.0	0.703651335497694303248046806396740412
AFA	40	nsRead	64.0	0.710732232299986462704751590632191688
AFA	41	nsRead	64.0	0.717928779540304305600517966979605050
AFA	42	nsRead	64.0	0.724993483736721060124849414083890045
AFA	43	nsRead	64.0	0.732027426160337552742616033755274262
AFA	44	nsRead	64.0	0.738991168968670292121853794696568651
AFA	45	nsRead	64.0	0.745938366688248311316834649169428795
AFA	46	nsRead	64.0	0.753003204735034347399411187438665358
AFA	47	nsRead	64.0	0.760038961038961038961038961038961039
AFA	48	nsRead	64.0	0.767008673553947295729517706204077123
AFA	49	nsRead	64.0	0.774147991916655221801487178481037493
AFA	50	nsRead	64.0	0.781312838863587074387334634569507699
AFA	51	nsRead	64.0	0.788497499955515222690795209879179345
AFA	52	nsRead	64.0	0.795666666666666666666666666666666667
AFA	53	nsRead	64.0	0.803067194928684627575277337559429477
AFA	54	nsRead	64.0	0.810453608247422680412371134020618557
AFA	55	nsRead	64.0	0.817954827747832200609327396297164284
AFA	56	nsRead	64.0	0.825600694444444444444444444444444444
AFA	57	nsRead	64.0	0.833309672681134156726697034297896175
AFA	58	nsRead	64.0	0.841242123577508479102966223820130972
AFA	59	nsRead	64.0	0.849306930693069306930693069306930693
AFA	60	nsRead	64.0	0.857466985273206138018869091043982541
AFA	61	nsRead	64.0	0.865838167009917799724431371160053349
AFA	62	nsRead	64.0	0.874325472280528460303741202617607112
AFA	63	nsRead	64.0	0.883184210526315789473684210526315789
AFA	64	nsRead	64.0	0.892120911661914568739877915652287663
AFA	65	nsRead	64.0	0.901287438147698627579124264774530856
AFA	66	nsRead	64.0	0.911008299531147730763921973721119724
AFA	67	nsRead	64.0	0.920950038429461496950172523752677798
AFA	68	nsRead	64.0	0.931274725274725274725274725274725275
AFA	69	nsRead	64.0	0.942046581030232256390294537433502011
AFA	70	nsRead	64.0	0.953403225806451612903225806451612903
AFA	71	nsRead	64.0	0.965207236842105263157894736842105263
AFA	72	nsRead	64.0	0.977326707974571497545666693489981492
AFA	73	nsRead	64.0	0.990194244604316546762589928057553957
AFA	74	nsRead	64.0	1.003715138482073338029735641985836639
AFA	75	nsRead	64.0	1.017950567746429815395332636711947057
AFA	76	nsRead	64.0	1.032598044933211141659029687022688772
AFA	77	nsRead	64.0	1.048328876174041305044672015579169609
AFA	78	nsRead	64.0	1.065297161555437181340841640666615935
AFA	79	nsRead	64.0	1.083046201452992944433780631801815950
AFA	80	nsRead	64.0	1.102360913064988239851476043154827817
AFA	81	nsRead	64.0	1.122720498897908714585237352830492984
AFA	82	nsRead	64.0	1.144787935412345325799299048708962163
AFA	83	nsRead	64.0	1.168636345602954242726399169722632450
AFA	84	nsRead	64.0	1.193798398297822039658382339903661456
AFA	85	nsRead	64.0	1.221499947412705090450147244425746740
AFA	86	nsRead	64.0	1.252044444444444444444444444444444444
AFA	87	nsRead	64.0	1.286309496417272124751459977240611752
AFA	88	nsRead	64.0	1.325378916987355689939527212754260583
AFA	89	nsRead	64.0	1.371164409357572245962193090461360180
AFA	90	nsRead	64.0	1.425713095921883974727168294083859851
AFA	91	nsRead	64.0	1.492245751931548854460974009453542400
AFA	92	nsRead	64.0	1.571678160919540229885057471264367816
AFA	93	nsRead	64.0	1.673281436290879722984025265362492470
AFA	94	nsRead	64.0	1.803258565872080825035102725908232598
AFA	95	nsRead	64.0	1.987285849098654508637761632164439039
AFA	96	nsRead	64.0	2.261198594201079452742563072674783482
AFA	97	nsRead	64.0	2.698601102474216328811664888482446781
AFA	98	nsRead	64.0	3.401656446062829588925201998735029316
AFA	99	nsRead	64.0	5.017318228658777640144427167066389057
HFA	0	nsRead	64.0	0.000000000000000000000000000000000000
HFA	1	nsRead	64.0	0.104880701754385964912280701754385965
HFA	2	nsRead	64.0	0.121400000000000000000000000000000000
HFA	3	nsRead	64.0	0.135879166231323790617490335388151708
HFA	4	nsRead	64.0	0.149679245283018867924528301886792453
HFA	5	nsRead	64.0	0.163561959654178674351585014409221902
