model	percentile	io_type	io_size	latency
AFA	0	nsRead	128.0	0.000000000000000000000000000000000000
AFA	1	nsRead	128.0	0.139619883040935672514619883040935673
AFA	2	nsRead	128.0	0.227493084890920664313407788901105260
AFA	3	nsRead	128.0	0.315898305084745762711864406779661017
AFA	4	nsRead	128.0	0.384529411764705882352941176470588235
AFA	5	nsRead	128.0	0.443958333333333333333333333333333333
AFA	6	nsRead	128.0	0.495333333333333333333333333333333333
AFA	7	nsRead	128.0	0.536830188679245283018867924528301887
AFA	8	nsRead	128.0	0.573021106674272675413576725613234455
AFA	9	nsRead	128.0	0.605181330472103004291845493562231760
AFA	10	nsRead	128.0	0.633489795918367346938775510204081633
AFA	11	nsRead	128.0	0.658628253968253968253968253968253968
AFA	12	nsRead	128.0	0.682233873530346361614235780108039403
AFA	13	nsRead	128.0	0.703680757617348339280812517156189953
AFA	14	nsRead	128.0	0.724136363636363636363636363636363636
AFA	15	nsRead	128.0	0.744360072178708901758871525844657211
AFA	16	nsRead	128.0	0.763592902232362402147711606833334677
AFA	17	nsRead	128.0	0.781866920152091254752851711026615970
AFA	18	nsRead	128.0	0.800304347826086956521739130434782609
AFA	19	nsRead	128.0	0.818750599027863353186828233038953926
AFA	20	nsRead	128.0	0.836552238805970149253731343283582090
AFA	21	nsRead	128.0	0.854106152805949966193373901284651792
AFA	22	nsRead	128.0	0.870878733667900107023705279940744646
AFA	23	nsRead	128.0	0.887000000000000000000000000000000000
AFA	24	nsRead	128.0	0.903103448275862068965517241379310345
AFA	25	nsRead	128.0	0.918908246708246708246708246708246708
AFA	26	nsRead	128.0	0.934177323665128543177323665128543177
AFA	27	nsRead	128.0	0.949149718915343915343915343915343915
AFA	28	nsRead	128.0	0.963911504424778761061946902654867257
AFA	29	nsRead	128.0	0.978339078438269433696799155821315512
AFA	30	nsRead	128.0	0.992590347629909384387191663862194468
AFA	31	nsRead	128.0	1.006939887108435234275488014554429173
AFA	32	nsRead	128.0	1.020951174914854348611983180166295641
AFA	33	nsRead	128.0	1.034729402261712439418416801292407108
AFA	34	nsRead	128.0	1.048050825203839134487874689810012736
AFA	35	nsRead	128.0	1.061216920698034018113540976364037994
AFA	36	nsRead	128.0	1.074285714285714285714285714285714286
AFA	37	nsRead	128.0	1.087362500000000000000000000000000000
AFA	38	nsRead	128.0	1.100308453153988868274582560296846011
AFA	39	nsRead	128.0	1.113159615846338535414165666266506603
AFA	40	nsRead	128.0	1.125975605430999807405941208691818213
AFA	41	nsRead	128.0	1.138818429827220369809033040315247045
AFA	42	nsRead	128.0	1.151500000000000000000000000000000000
AFA	43	nsRead	128.0	1.164188819875776397515527950310559006
AFA	44	nsRead	128.0	1.176809827833572453371592539454806313
AFA	45	nsRead	128.0	1.189456073752711496746203904555314534
AFA	46	nsRead	128.0	1.202000000000000000000000000000000000
AFA	47	nsRead	128.0	1.214589843750000000000000000000000000
AFA	48	nsRead	128.0	1.227185051097566564318775491499014711
AFA	49	nsRead	128.0	1.239750090323677555097443308609440418
AFA	50	nsRead	128.0	1.252198297024874004226954966672085840
AFA	51	nsRead	128.0	1.264771175166297117516629711751662971
AFA	52	nsRead	128.0	1.277475469685474117532169980694255602
AFA	53	nsRead	128.0	1.290269879185128963202852767877591425
AFA	54	nsRead	128.0	1.303292427416941035618078419634839868
AFA	55	nsRead	128.0	1.316523220585623673043127920630418821
AFA	56	nsRead	128.0	1.329831616471722528099865526602897521
AFA	57	nsRead	128.0	1.343365343378730802665893943784410316
AFA	58	nsRead	128.0	1.356958034954453039702063500316051302
AFA	59	nsRead	128.0	1.370639476334340382678751258811681772
AFA	60	nsRead	128.0	1.384726422729094151941102983350749963
AFA	61	nsRead	128.0	1.399015781960777879413103847147761812
AFA	62	nsRead	128.0	1.413624087591240875912408759124087591
AFA	63	nsRead	128.0	1.428568701823075981891594273828459562
AFA	64	nsRead	128.0	1.443818342625385143716641661902331774
AFA	65	nsRead	128.0	1.459675370295578994824784679108472889
AFA	66	nsRead	128.0	1.475860370411692513667298895459109673
AFA	67	nsRead	128.0	1.492636253231442288571347404903269793
AFA	68	nsRead	128.0	1.510492711099556166316923248342587606
AFA	69	nsRead	128.0	1.528652573529411764705882352941176471
AFA	70	nsRead	128.0	1.547385559304011938547119665312182895
AFA	71	nsRead	128.0	1.566771414473338862584119851760086508
AFA	72	nsRead	128.0	1.587039308078616157232314464628929258
AFA	73	nsRead	128.0	1.607954010095344924284913067863151991
AFA	74	nsRead	128.0	1.630286446886446886446886446886446886
AFA	75	nsRead	128.0	1.653541284403669724770642201834862385
AFA	76	nsRead	128.0	1.678121251987063531217453269747300334
AFA	77	nsRead	128.0	1.704745128193530391779933811279221416
AFA	78	nsRead	128.0	1.732938223165522943800460297982378066
AFA	79	nsRead	128.0	1.763475383839111944064009226555179125
AFA	80	nsRead	128.0	1.796529696647152740819584885577434806
AFA	81	nsRead	128.0	1.831952698201199200532978014656895403
AFA	82	nsRead	128.0	1.870430522933099620216184633362547473
AFA	83	nsRead	128.0	1.912012259484142084277749284449812220
AFA	84	nsRead	128.0	1.957940106295993458708094848732624693
AFA	85	nsRead	128.0	2.008479834725590586544507320578460433
AFA	86	nsRead	128.0	2.063935096604764584505721253048208591
AFA	87	nsRead	128.0	2.124149757948468193666858200310013934
AFA	88	nsRead	128.0	2.190083333333333333333333333333333333
AFA	89	nsRead	128.0	2.263211863801841673210079234777642944
AFA	90	nsRead	128.0	2.349690180841362668846553017227323991
AFA	91	nsRead	128.0	2.458806854538991048056103157418479139
AFA	92	nsRead	128.0	2.596302049030369557263080863519941456
AFA	93	nsRead	128.0	2.775426887650259640100208751251845294
AFA	94	nsRead	128.0	3.006716935966487133453022142429682825
AFA	95	nsRead	128.0	3.329628241220921618017484071714328049
AFA	96	nsRead	128.0	3.799715593456539944128721289258522927
AFA	97	nsRead	128.0	4.550847947718157854128187873552521266
AFA	98	nsRead	128.0	5.800662777408250010368966221748407404
AFA	99	nsRead	128.0	8.502509124515138104287610965037877802
HFA	0	nsRead	128.0	0.000000000000000000000000000000000000
HFA	1	nsRead	128.0	0.109841712457967686377429672763060773
HFA	2	nsRead	128.0	0.128061477325853202431042543244506779
HFA	3	nsRead	128.0	0.144229166666666666666666666666666667
HFA	4	nsRead	128.0	0.158545454545454545454545454545454545
HFA	5	nsRead	128.0	0.172169642857142857142857142857142857
HFA	6	nsRead	128.0	0.186778901734104046242774566473988439
HFA	7	nsRead	128.0	0.202964193873897334071156537873116110
HFA	8	nsRead	128.0	0.221132113821138211382113821138211382
HFA	9	nsRead	128.0	0.241234062797335870599429115128449096
HFA	10	nsRead	128.0	0.263304630541871921182266009852216749
HFA	11	nsRead	128.0	0.288536231884057971014492753623188406
HFA	12	nsRead	128.0	0.316584830339321357285429141716566866
HFA	13	nsRead	128.0	0.347014225941422594142259414225941423
HFA	14	nsRead	128.0	0.379724436741767764298093587521663778
HFA	15	nsRead	128.0	0.413971014492753623188405797101449275
HFA	16	nsRead	128.0	0.449415384615384615384615384615384615
HFA	17	nsRead	128.0	0.485944542532482230974693286251075196
HFA	18	nsRead	128.0	0.522873864783047426841574167507568113
HFA	19	nsRead	128.0	0.559953488372093023255813953488372093
HFA	20	nsRead	128.0	0.597440524193548387096774193548387097
HFA	21	nsRead	128.0	0.634924050080704968808620163154909916
HFA	22	nsRead	128.0	0.672213381123058542413381123058542413
HFA	23	nsRead	128.0	0.709176900584795321637426900584795322
HFA	24	nsRead	128.0	0.745922977945326079595476195850922143
HFA	25	nsRead	128.0	0.782064344019335127000775229148615988
HFA	26	nsRead	128.0	0.817917794067004476804250504255423821
HFA	27	nsRead	128.0	0.853000000000000000000000000000000000
