model	io_type	io_size	percentile	latency	cnt	mints	maxts
AFA	nsRead	0.0	0	0.000833333333333333333333333333333333	81	2021-11-16 00:50:00	2021-11-21 23:16:00
AFA	nsRead	0.0	1	0.000958333333333333333333333333333333	82	2021-11-16 03:04:00	2021-11-21 23:47:00
AFA	nsRead	0.0	2	0.001000000000000000000000000000000000	80	2021-11-16 04:57:00	2021-11-21 22:51:00
AFA	nsRead	0.0	3	0.001000000000000000000000000000000000	78	2021-11-16 00:38:00	2021-11-21 23:20:00
AFA	nsRead	0.0	4	0.001000000000000000000000000000000000	73	2021-11-16 10:46:00	2021-11-21 23:11:00
AFA	nsRead	0.0	5	0.001000000000000000000000000000000000	84	2021-11-16 09:45:00	2021-11-21 23:25:00
AFA	nsRead	0.0	6	0.001041666666666666666666666666666667	80	2021-11-16 00:36:00	2021-11-21 22:57:00
AFA	nsRead	0.0	7	0.001041666666666666666666666666666667	89	2021-11-16 08:27:00	2021-11-21 22:01:00
AFA	nsRead	0.0	8	0.001041666666666666666666666666666667	74	2021-11-16 01:01:00	2021-11-21 23:41:00
AFA	nsRead	0.0	9	0.001041666666666666666666666666666667	79	2021-11-16 00:54:00	2021-11-21 23:10:00
AFA	nsRead	0.0	10	0.001041666666666666666666666666666667	76	2021-11-16 19:17:00	2021-11-21 23:55:00
AFA	nsRead	0.0	11	0.001041666666666666666666666666666667	71	2021-11-17 10:50:00	2021-11-21 23:18:00
AFA	nsRead	0.0	12	0.001045454545454545454545454545454545	80	2021-11-16 03:59:00	2021-11-21 22:34:00
AFA	nsRead	0.0	13	0.001083333333333333333333333333333333	79	2021-11-16 02:49:00	2021-11-21 23:33:00
AFA	nsRead	0.0	14	0.001083333333333333333333333333333333	76	2021-11-16 00:13:00	2021-11-21 23:53:00
AFA	nsRead	0.0	15	0.001083333333333333333333333333333333	79	2021-11-16 07:37:00	2021-11-21 23:56:00
AFA	nsRead	0.0	16	0.001083333333333333333333333333333333	82	2021-11-16 00:39:00	2021-11-21 23:05:00
AFA	nsRead	0.0	17	0.001083333333333333333333333333333333	63	2021-11-16 02:50:00	2021-11-21 21:43:00
AFA	nsRead	0.0	18	0.001083333333333333333333333333333333	80	2021-11-16 00:29:00	2021-11-21 21:50:00
AFA	nsRead	0.0	19	0.001083333333333333333333333333333333	90	2021-11-16 01:14:00	2021-11-21 22:10:00
AFA	nsRead	0.0	20	0.001125000000000000000000000000000000	82	2021-11-16 00:44:00	2021-11-21 23:50:00
AFA	nsRead	0.0	21	0.001125000000000000000000000000000000	86	2021-11-16 02:46:00	2021-11-21 23:15:00
AFA	nsRead	0.0	22	0.001125000000000000000000000000000000	78	2021-11-16 00:26:00	2021-11-21 23:42:00
AFA	nsRead	0.0	23	0.001125000000000000000000000000000000	87	2021-11-16 02:38:00	2021-11-21 23:02:00
AFA	nsRead	0.0	24	0.001125000000000000000000000000000000	77	2021-11-16 00:59:00	2021-11-21 22:28:00
AFA	nsRead	0.0	25	0.001125000000000000000000000000000000	81	2021-11-16 00:09:00	2021-11-21 22:11:00
AFA	nsRead	0.0	26	0.001125000000000000000000000000000000	91	2021-11-16 00:37:00	2021-11-21 23:49:00
AFA	nsRead	0.0	27	0.001125000000000000000000000000000000	74	2021-11-16 02:19:00	2021-11-21 23:01:00
AFA	nsRead	0.0	28	0.001166666666666666666666666666666667	81	2021-11-16 00:20:00	2021-11-21 23:48:00
AFA	nsRead	0.0	29	0.001166666666666666666666666666666667	75	2021-11-16 00:33:00	2021-11-21 22:39:00
AFA	nsRead	0.0	30	0.001166666666666666666666666666666667	77	2021-11-16 00:15:00	2021-11-21 23:36:00
AFA	nsRead	0.0	31	0.001166666666666666666666666666666667	93	2021-11-16 06:35:00	2021-11-21 23:29:00
AFA	nsRead	0.0	32	0.001166666666666666666666666666666667	73	2021-11-16 05:51:00	2021-11-21 22:25:00
AFA	nsRead	0.0	33	0.001166666666666666666666666666666667	80	2021-11-16 03:13:00	2021-11-21 21:30:00
AFA	nsRead	0.0	34	0.001166666666666666666666666666666667	85	2021-11-16 00:17:00	2021-11-21 21:01:00
AFA	nsRead	0.0	35	0.001166666666666666666666666666666667	80	2021-11-16 04:33:00	2021-11-21 23:52:00
AFA	nsRead	0.0	36	0.001208333333333333333333333333333333	72	2021-11-16 02:51:00	2021-11-21 22:55:00
AFA	nsRead	0.0	37	0.001208333333333333333333333333333333	81	2021-11-16 00:12:00	2021-11-21 23:35:00
AFA	nsRead	0.0	38	0.001208333333333333333333333333333333	82	2021-11-16 06:34:00	2021-11-21 23:57:00
AFA	nsRead	0.0	39	0.001208333333333333333333333333333333	86	2021-11-16 04:21:00	2021-11-21 23:37:00
AFA	nsRead	0.0	40	0.001208333333333333333333333333333333	68	2021-11-16 00:07:00	2021-11-21 23:45:00
AFA	nsRead	0.0	41	0.001208333333333333333333333333333333	84	2021-11-16 05:48:00	2021-11-21 21:05:00
AFA	nsRead	0.0	42	0.001208333333333333333333333333333333	78	2021-11-16 01:38:00	2021-11-21 22:58:00
AFA	nsRead	0.0	43	0.001250000000000000000000000000000000	75	2021-11-16 02:24:00	2021-11-21 23:26:00
AFA	nsRead	0.0	44	0.001250000000000000000000000000000000	89	2021-11-16 00:10:00	2021-11-21 22:50:00
AFA	nsRead	0.0	45	0.001250000000000000000000000000000000	84	2021-11-16 00:55:00	2021-11-21 23:34:00
AFA	nsRead	0.0	46	0.001250000000000000000000000000000000	82	2021-11-16 00:00:00	2021-11-21 23:58:00
AFA	nsRead	0.0	47	0.001250000000000000000000000000000000	87	2021-11-16 00:52:00	2021-11-21 23:44:00
AFA	nsRead	0.0	48	0.001250000000000000000000000000000000	92	2021-11-16 02:27:00	2021-11-21 22:59:00
AFA	nsRead	0.0	49	0.001250000000000000000000000000000000	86	2021-11-16 00:30:00	2021-11-21 21:10:00
AFA	nsRead	0.0	50	0.001291666666666666666666666666666667	87	2021-11-16 01:36:00	2021-11-21 21:59:00
AFA	nsRead	0.0	51	0.001291666666666666666666666666666667	87	2021-11-16 01:04:00	2021-11-21 19:59:00
AFA	nsRead	0.0	52	0.001291666666666666666666666666666667	87	2021-11-16 01:41:00	2021-11-21 22:43:00
AFA	nsRead	0.0	53	0.001291666666666666666666666666666667	75	2021-11-16 03:29:00	2021-11-21 22:45:00
AFA	nsRead	0.0	54	0.001291666666666666666666666666666667	92	2021-11-16 02:55:00	2021-11-21 23:22:00
AFA	nsRead	0.0	55	0.001291666666666666666666666666666667	72	2021-11-16 00:16:00	2021-11-21 19:58:00
AFA	nsRead	0.0	56	0.001291666666666666666666666666666667	89	2021-11-16 02:25:00	2021-11-21 11:40:00
AFA	nsRead	0.0	57	0.001333333333333333333333333333333333	88	2021-11-16 02:52:00	2021-11-21 21:15:00
AFA	nsRead	0.0	58	0.001333333333333333333333333333333333	96	2021-11-16 00:14:00	2021-11-21 23:46:00
AFA	nsRead	0.0	59	0.001333333333333333333333333333333333	76	2021-11-16 02:12:00	2021-11-21 20:01:00
AFA	nsRead	0.0	60	0.001333333333333333333333333333333333	89	2021-11-16 00:27:00	2021-11-21 19:45:00
AFA	nsRead	0.0	61	0.001333333333333333333333333333333333	79	2021-11-16 02:34:00	2021-11-21 18:27:00
AFA	nsRead	0.0	62	0.001333333333333333333333333333333333	100	2021-11-16 00:08:00	2021-11-21 22:13:00
AFA	nsRead	0.0	63	0.001375000000000000000000000000000000	94	2021-11-16 01:51:00	2021-11-21 19:54:00
AFA	nsRead	0.0	64	0.001375000000000000000000000000000000	90	2021-11-16 01:21:00	2021-11-21 23:40:00
AFA	nsRead	0.0	65	0.001375000000000000000000000000000000	86	2021-11-16 01:02:00	2021-11-21 18:59:00
AFA	nsRead	0.0	66	0.001375000000000000000000000000000000	86	2021-11-16 00:06:00	2021-11-21 23:59:00
AFA	nsRead	0.0	67	0.001375000000000000000000000000000000	88	2021-11-16 01:09:00	2021-11-21 18:41:00
AFA	nsRead	0.0	68	0.001416666666666666666666666666666667	87	2021-11-16 01:26:00	2021-11-21 17:31:00
AFA	nsRead	0.0	69	0.001416666666666666666666666666666667	85	2021-11-16 01:42:00	2021-11-21 21:45:00
AFA	nsRead	0.0	70	0.001416666666666666666666666666666667	95	2021-11-16 01:35:00	2021-11-21 22:49:00
AFA	nsRead	0.0	71	0.001416666666666666666666666666666667	93	2021-11-16 02:21:00	2021-11-21 23:30:00
AFA	nsRead	0.0	72	0.001416666666666666666666666666666667	92	2021-11-16 04:30:00	2021-11-21 21:27:00
AFA	nsRead	0.0	73	0.001458333333333333333333333333333333	93	2021-11-16 00:53:00	2021-11-21 16:15:00
AFA	nsRead	0.0	74	0.001458333333333333333333333333333333	81	2021-11-16 04:56:00	2021-11-21 23:21:00
AFA	nsRead	0.0	75	0.001458333333333333333333333333333333	79	2021-11-16 02:32:00	2021-11-21 23:28:00
AFA	nsRead	0.0	76	0.001458333333333333333333333333333333	94	2021-11-16 00:21:00	2021-11-21 21:06:00
AFA	nsRead	0.0	77	0.001500000000000000000000000000000000	94	2021-11-16 01:58:00	2021-11-21 19:30:00
AFA	nsRead	0.0	78	0.001500000000000000000000000000000000	93	2021-11-16 00:02:00	2021-11-21 14:58:00
AFA	nsRead	0.0	79	0.001500000000000000000000000000000000	100	2021-11-16 00:18:00	2021-11-21 21:26:00
AFA	nsRead	0.0	80	0.001541666666666666666666666666666667	97	2021-11-16 00:03:00	2021-11-21 12:51:00
AFA	nsRead	0.0	81	0.001541666666666666666666666666666667	83	2021-11-16 00:01:00	2021-11-21 19:16:00
AFA	nsRead	0.0	82	0.001541666666666666666666666666666667	95	2021-11-16 00:22:00	2021-11-21 19:14:00
AFA	nsRead	0.0	83	0.001583333333333333333333333333333333	110	2021-11-16 01:05:00	2021-11-21 11:48:00
AFA	nsRead	0.0	84	0.001583333333333333333333333333333333	93	2021-11-16 00:23:00	2021-11-21 15:01:00
AFA	nsRead	0.0	85	0.001583333333333333333333333333333333	95	2021-11-16 01:50:00	2021-11-21 11:30:00
AFA	nsRead	0.0	86	0.001625000000000000000000000000000000	101	2021-11-16 00:04:00	2021-11-21 12:10:00
AFA	nsRead	0.0	87	0.001625000000000000000000000000000000	87	2021-11-16 05:55:00	2021-11-21 13:26:00
AFA	nsRead	0.0	88	0.001666666666666666666666666666666667	94	2021-11-16 00:35:00	2021-11-21 13:27:00
AFA	nsRead	0.0	89	0.001666666666666666666666666666666667	94	2021-11-16 00:47:00	2021-11-21 19:11:00
AFA	nsRead	0.0	90	0.001708333333333333333333333333333333	106	2021-11-16 00:32:00	2021-11-21 22:48:00
AFA	nsRead	0.0	91	0.001750000000000000000000000000000000	103	2021-11-16 02:48:00	2021-11-21 11:46:00
AFA	nsRead	0.0	92	0.001791666666666666666666666666666667	107	2021-11-16 00:48:00	2021-11-21 23:27:00
AFA	nsRead	0.0	93	0.001833333333333333333333333333333333	105	2021-11-16 00:49:00	2021-11-21 18:08:00
AFA	nsRead	0.0	94	0.001875000000000000000000000000000000	111	2021-11-16 00:19:00	2021-11-21 12:04:00
AFA	nsRead	0.0	95	0.001916666666666666666666666666666667	108	2021-11-16 00:40:00	2021-11-21 13:30:00
AFA	nsRead	0.0	96	0.002000000000000000000000000000000000	109	2021-11-16 03:05:00	2021-11-21 13:28:00
AFA	nsRead	0.0	97	0.002208333333333333333333333333333333	98	2021-11-16 04:44:00	2021-11-21 23:32:00
AFA	nsRead	0.0	98	0.002625000000000000000000000000000000	97	2021-11-16 01:25:00	2021-11-21 23:51:00
AFA	nsRead	0.0	99	0.159458333333333333333333333333333333	72	2021-11-16 01:48:00	2021-11-21 21:03:00
AFA	nsRead	0.5	0	0.000000000000000000000000000000000000	235044	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	1	0.048582314345362362063823441694005368	234649	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	2	0.064333333333333333333333333333333333	234487	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	3	0.078166666666666666666666666666666667	236370	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	4	0.092000000000000000000000000000000000	235469	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	5	0.105500000000000000000000000000000000	231262	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	6	0.118000000000000000000000000000000000	232340	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	7	0.129148052137719522436014458359195297	231078	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	8	0.139090909090909090909090909090909091	230251	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	9	0.148216927763272410791993037423846823	233583	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	10	0.156440290178571428571428571428571429	233351	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	11	0.163935732647814910025706940874035990	235998	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	12	0.170673944364402083564224758949351657	237659	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	13	0.176772455089820359281437125748502994	236951	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	14	0.182258426966292134831460674157303371	236705	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	15	0.187256410256410256410256410256410256	237702	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	16	0.191749336870026525198938992042440318	238868	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	17	0.195794968553459119496855345911949686	240159	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	18	0.199521507760532150776053215077605322	241322	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	19	0.202951514380249427335199796385848816	242458	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	20	0.206083130010456605088881143255489718	242038	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	21	0.208983136316299124842416823488571794	240190	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	22	0.211707927677329624478442280945757997	239247	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	23	0.214333333333333333333333333333333333	239984	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	24	0.216896919431279620853080568720379147	238320	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	25	0.219388369597033856961654795589813640	238728	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	26	0.221868090452261306532663316582914573	238819	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	27	0.224344086021505376344086021505376344	237933	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	28	0.226833333333333333333333333333333333	236713	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	29	0.229322873047933395733779989162027686	236252	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	30	0.231811594202898550724637681159420290	236207	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	31	0.234292433795712484237074401008827238	235195	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	32	0.236761904761904761904761904761904762	235242	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	33	0.239210526315789473684210526315789474	233342	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	34	0.241647217537942664418212478920741990	232625	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	35	0.244031311706629055007052186177715092	231871	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	36	0.246400000000000000000000000000000000	230208	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	37	0.248750000000000000000000000000000000	229753	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	38	0.251083333333333333333333333333333333	228895	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	39	0.253418577981651376146788990825688073	228243	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	40	0.255722916666666666666666666666666667	228881	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	41	0.258007805965988291051017563423473655	228646	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	42	0.260312139637278540727539574378865709	228991	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	43	0.262596558317399617590822179732313576	229631	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	44	0.264865979381443298969072164948453608	230053	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	45	0.267116883116883116883116883116883117	229941	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	46	0.269358778625954198473282442748091603	230312	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	47	0.271598425196850393700787401574803150	230765	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	48	0.273816326530612244897959183673469388	230152	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	49	0.276026923076923076923076923076923077	229707	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	50	0.278284161460462038496720577645433137	229232	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	51	0.280555555555555555555555555555555556	228898	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	52	0.282855072463768115942028985507246377	228500	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	53	0.285153846153846153846153846153846154	228337	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	54	0.287493150684931506849315068493150685	227756	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	55	0.289857142857142857142857142857142857	227022	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	56	0.292250000000000000000000000000000000	226706	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	57	0.294681208053691275167785234899328859	226991	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	58	0.297142857142857142857142857142857143	227055	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	59	0.299634103019538188277087033747779751	227393	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	60	0.302147117296222664015904572564612326	227317	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	61	0.304692810457516339869281045751633987	227912	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	62	0.307265941372015714717437292233303113	227621	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	63	0.309905263157894736842105263157894737	227620	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	64	0.312583333333333333333333333333333333	227268	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	65	0.315315699658703071672354948805460751	227523	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	66	0.318071140939597315436241610738255034	226916	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	67	0.320887179487179487179487179487179487	227334	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	68	0.323750000000000000000000000000000000	227130	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	69	0.326690376569037656903765690376569038	227187	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	70	0.329695842450765864332603938730853392	227779	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	71	0.332782608695652173913043478260869565	228094	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	72	0.335971223021582733812949640287769784	229478	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	73	0.339227272727272727272727272727272727	229605	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	74	0.342597883597883597883597883597883598	228927	2021-11-16 00:00:00	2021-11-21 23:59:00
AFA	nsRead	0.5	75	0.346082677165354330708661417322834646	229315	2021-11-16 00:00:00	2021-11-21 23:59:00
