model	io_type	io_size	percentile	latency	cnt	mints	maxts
HFA	nsRead	512.0	0	0.000000000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	1	0.210333333333333333333333333333333333	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	2	0.240000000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	3	0.256967289719626168224299065420560748	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	4	0.268373949579831932773109243697478992	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	5	0.278400000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	6	0.287555555555555555555555555555555556	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	7	0.296714285714285714285714285714285714	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	8	0.306000000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	9	0.316379527559055118110236220472440945	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	10	0.327438297872340425531914893617021277	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	11	0.340000000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	12	0.353444444444444444444444444444444444	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	13	0.367478260869565217391304347826086957	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	14	0.383454545454545454545454545454545455	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	15	0.400039215686274509803921568627450980	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	16	0.419500000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	17	0.441750000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	18	0.466500000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	19	0.493620000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	20	0.524219251336898395721925133689839572	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	21	0.560813333333333333333333333333333333	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	22	0.605687500000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	23	0.657750000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	24	0.713678571428571428571428571428571429	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	25	0.780890909090909090909090909090909091	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	26	0.857428571428571428571428571428571429	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	27	0.939000000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	28	1.024471074380165289256198347107438017	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	29	1.116025000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	30	1.220400000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	31	1.334617647058823529411764705882352941	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	32	1.455333333333333333333333333333333333	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	33	1.580142857142857142857142857142857143	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	34	1.710000000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	35	1.842500000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	36	1.977075000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	37	2.112600000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	38	2.245285714285714285714285714285714286	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	39	2.374000000000000000000000000000000000	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	40	2.499994736842105263157894736842105263	103413	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	41	2.621000000000000000000000000000000000	103412	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	42	2.740000000000000000000000000000000000	103412	2022-02-20 00:00:00	2022-02-21 23:59:00
HFA	nsRead	512.0	43	2.857728791062935515982745271540758766	103412	2022-02-20 00:00:00	2022-02-21 23:59:00
