model	io_type	io_size	percentile	latency	cnt	mints	maxts
AFA	nsRead	0.0	4	0.001000000000000000000000000000000000	115	2021-11-22 00:03:00	2021-11-28 07:00:00
AFA	nsRead	0.0	64	0.001375000000000000000000000000000000	97	2021-11-22 00:28:00	2021-11-28 11:58:00
AFA	write	0.0	95	0.001065240641711229946524064171122995	264	2021-11-22 03:02:00	2021-11-28 14:32:00
AFA	write	0.0	0	0.000380000000000000000000000000000000	460	2021-11-22 00:18:00	2021-11-28 15:07:00
AFA	nsRead	0.0	92	0.001791666666666666666666666666666667	80	2021-11-22 05:26:00	2021-11-28 15:26:00
AFA	nsRead	0.0	58	0.001333333333333333333333333333333333	89	2021-11-22 02:01:00	2021-11-28 17:32:00
AFA	nsRead	0.0	63	0.001375000000000000000000000000000000	93	2021-11-22 12:24:00	2021-11-28 18:03:00
AFA	nsRead	0.0	50	0.001291666666666666666666666666666667	100	2021-11-22 00:40:00	2021-11-28 18:07:00
AFA	nsRead	0.0	65	0.001375000000000000000000000000000000	99	2021-11-22 02:52:00	2021-11-28 18:38:00
AFA	nsRead	0.0	91	0.001750000000000000000000000000000000	84	2021-11-22 01:53:00	2021-11-28 18:39:00
AFA	nsRead	0.0	21	0.001125000000000000000000000000000000	100	2021-11-22 01:24:00	2021-11-28 18:40:00
AFA	nsRead	0.0	11	0.001041666666666666666666666666666667	117	2021-11-22 00:45:00	2021-11-28 19:09:00
AFA	nsRead	0.0	36	0.001208333333333333333333333333333333	115	2021-11-22 00:37:00	2021-11-28 19:20:00
AFA	write	0.0	79	0.000884759358288770053475935828877005	293	2021-11-22 00:27:00	2021-11-28 19:28:00
AFA	write	0.0	80	0.000893315508021390374331550802139037	262	2021-11-22 00:52:00	2021-11-28 19:33:00
AFA	nsRead	0.0	78	0.001500000000000000000000000000000000	94	2021-11-22 09:14:00	2021-11-28 19:50:00
AFA	nsRead	0.0	42	0.001208333333333333333333333333333333	108	2021-11-22 01:36:00	2021-11-28 19:52:00
AFA	write	0.0	97	0.001111111111111111111111111111111111	266	2021-11-22 00:03:00	2021-11-28 20:01:00
AFA	write	0.0	90	0.000995187165775401069518716577540107	313	2021-11-22 00:06:00	2021-11-28 20:04:00
AFA	nsRead	0.0	83	0.001583333333333333333333333333333333	76	2021-11-22 02:32:00	2021-11-28 20:14:00
AFA	nsRead	0.0	90	0.001708333333333333333333333333333333	81	2021-11-22 01:27:00	2021-11-28 20:25:00
AFA	nsRead	0.0	6	0.001041666666666666666666666666666667	107	2021-11-22 00:20:00	2021-11-28 20:40:00
AFA	nsRead	0.0	89	0.001666666666666666666666666666666667	93	2021-11-22 13:14:00	2021-11-28 20:45:00
AFA	nsRead	0.0	15	0.001083333333333333333333333333333333	109	2021-11-22 00:32:00	2021-11-28 20:53:00
AFA	write	0.0	3	0.000500000000000000000000000000000000	420	2021-11-22 00:24:00	2021-11-28 20:55:00
AFA	nsRead	0.0	79	0.001500000000000000000000000000000000	87	2021-11-22 14:59:00	2021-11-28 21:05:00
AFA	nsRead	0.0	73	0.001458333333333333333333333333333333	93	2021-11-22 02:10:00	2021-11-28 21:07:00
AFA	nsRead	0.0	27	0.001125000000000000000000000000000000	113	2021-11-22 01:23:00	2021-11-28 21:10:00
AFA	nsRead	0.0	24	0.001125000000000000000000000000000000	111	2021-11-22 03:40:00	2021-11-28 21:14:00
AFA	nsRead	0.0	16	0.001083333333333333333333333333333333	106	2021-11-22 00:27:00	2021-11-28 21:17:00
AFA	nsRead	0.0	9	0.001041666666666666666666666666666667	107	2021-11-22 00:39:00	2021-11-28 21:22:00
AFA	write	0.0	1	0.000458750000000000000000000000000000	450	2021-11-22 00:19:00	2021-11-28 21:23:00
AFA	nsRead	0.0	95	0.001916666666666666666666666666666667	79	2021-11-22 08:56:00	2021-11-28 21:28:00
AFA	nsRead	0.0	85	0.001583333333333333333333333333333333	92	2021-11-23 03:27:00	2021-11-28 21:33:00
AFA	write	0.0	2	0.000480000000000000000000000000000000	455	2021-11-22 00:22:00	2021-11-28 21:38:00
AFA	nsRead	0.0	68	0.001416666666666666666666666666666667	100	2021-11-22 09:52:00	2021-11-28 21:39:00
AFA	nsRead	0.0	60	0.001333333333333333333333333333333333	98	2021-11-22 10:16:00	2021-11-28 21:40:00
AFA	nsRead	0.0	51	0.001291666666666666666666666666666667	99	2021-11-22 00:25:00	2021-11-28 21:42:00
AFA	nsRead	0.0	84	0.001583333333333333333333333333333333	94	2021-11-22 01:03:00	2021-11-28 21:43:00
AFA	nsRead	0.0	82	0.001541666666666666666666666666666667	92	2021-11-22 01:05:00	2021-11-28 21:46:00
AFA	nsRead	0.0	88	0.001666666666666666666666666666666667	93	2021-11-22 03:27:00	2021-11-28 21:47:00
AFA	write	0.0	25	0.000665240641711229946524064171122995	357	2021-11-22 01:08:00	2021-11-28 21:51:00
AFA	write	0.0	24	0.000660905349794238683127572016460905	361	2021-11-22 00:04:00	2021-11-28 21:55:00
AFA	nsRead	0.0	53	0.001291666666666666666666666666666667	111	2021-11-22 11:00:00	2021-11-28 21:57:00
AFA	nsRead	0.0	67	0.001375000000000000000000000000000000	99	2021-11-22 08:32:00	2021-11-28 21:59:00
AFA	nsRead	0.0	97	0.002208333333333333333333333333333333	89	2021-11-22 14:32:00	2021-11-28 22:00:00
AFA	write	0.0	92	0.001019786096256684491978609625668449	306	2021-11-22 00:05:00	2021-11-28 22:01:00
AFA	nsRead	0.0	23	0.001125000000000000000000000000000000	100	2021-11-22 00:07:00	2021-11-28 22:01:00
AFA	write	0.0	88	0.000972727272727272727272727272727273	300	2021-11-22 01:03:00	2021-11-28 22:05:00
AFA	nsRead	0.0	2	0.001000000000000000000000000000000000	108	2021-11-22 00:13:00	2021-11-28 22:06:00
AFA	nsRead	0.0	10	0.001041666666666666666666666666666667	112	2021-11-22 00:49:00	2021-11-28 22:09:00
AFA	nsRead	0.0	5	0.001000000000000000000000000000000000	104	2021-11-22 00:02:00	2021-11-28 22:11:00
AFA	write	0.0	18	0.000628750000000000000000000000000000	312	2021-11-22 00:36:00	2021-11-28 22:11:00
AFA	write	0.0	76	0.000862834224598930481283422459893048	246	2021-11-22 00:50:00	2021-11-28 22:11:00
AFA	nsRead	0.0	38	0.001208333333333333333333333333333333	105	2021-11-22 00:42:00	2021-11-28 22:13:00
AFA	write	0.0	15	0.000611522633744855967078189300411523	311	2021-11-22 00:33:00	2021-11-28 22:14:00
AFA	write	0.0	75	0.000856149732620320855614973262032086	276	2021-11-22 00:53:00	2021-11-28 22:16:00
AFA	nsRead	0.0	56	0.001291666666666666666666666666666667	98	2021-11-22 02:31:00	2021-11-28 22:16:00
AFA	nsRead	0.0	31	0.001166666666666666666666666666666667	94	2021-11-22 05:07:00	2021-11-28 22:19:00
AFA	nsRead	0.0	20	0.001125000000000000000000000000000000	106	2021-11-22 00:18:00	2021-11-28 22:20:00
AFA	nsRead	0.0	45	0.001250000000000000000000000000000000	103	2021-11-22 02:45:00	2021-11-28 22:23:00
AFA	nsRead	0.0	80	0.001541666666666666666666666666666667	89	2021-11-22 00:19:00	2021-11-28 22:27:00
AFA	write	0.0	87	0.000961229946524064171122994652406417	310	2021-11-22 00:11:00	2021-11-28 22:28:00
AFA	nsRead	0.0	55	0.001291666666666666666666666666666667	115	2021-11-22 05:16:00	2021-11-28 22:29:00
AFA	nsRead	0.0	76	0.001458333333333333333333333333333333	93	2021-11-22 04:01:00	2021-11-28 22:30:00
